sample,Sex,UK_citizen,Residence,Extrovert_introvert,Absorbed,Bored
10,M,N,UK,,Y,Y
11,M,Y,UK,Extrovert,Y,N
11,M,N,UK,Extrovert,Y,Y
11,F,Y,UK,Extrovert,Y,Y
11,F,N,UK,Extrovert,,Y
11,M,N,UK,Extrovert,Y,N
11,M,N,UK,Introvert,Y,N
11,M,N,UK,Extrovert,N,Y
11,M,N,UK,Extrovert,Y,Y
11,F,N,UK,Extrovert,N,Y
11,F,N,UK,Extrovert,N,Y
11,M,Y,UK,Introvert,N,Y
11,M,Y,UK,,N,N
11,M,Y,UK,Extrovert,N,Y
11,M,N,UK,Introvert,Y,N
11,F,N,UK,Introvert,Y,N
11,M,N,UK,Extrovert,Y,Y
11,F,N,UK,Extrovert,Y,Y
11,M,Y,UK,Extrovert,N,Y
11,M,N,UK,Extrovert,Y,N
11,F,Y,UK,Extrovert,Y,Y
11,M,Y,UK,Introvert,Y,Y
11,M,N,UK,Introvert,Y,Y
11,M,N,UK,Extrovert,N,Y
11,F,N,UK,Extrovert,Y,Y
11,M,N,UK,Introvert,Y,Y
11,F,Y,UK,Extrovert,Y,N
11,M,N,UK,Introvert,N,Y
11,M,N,UK,Extrovert,Y,Y
11,F,N,UK,Introvert,Y,Y
11,F,Y,UK,Extrovert,N,Y
11,M,N,UK,Extrovert,Y,N
12,M,N,UK,Extrovert,Y,Y
12,F,N,UK,Extrovert,N,Y
12,M,N,UK,Extrovert,N,Y
12,F,N,UK,Extrovert,Y,N
12,F,N,UK,Introvert,Y,N
12,M,N,UK,Introvert,N,N
12,M,Y,UK,Extrovert,N,Y
12,F,N,UK,Introvert,N,Y
12,M,Y,UK,Extrovert,Y,N
12,M,Y,UK,Extrovert,Y,Y
12,F,Y,UK,Extrovert,Y,Y
12,M,N,UK,Introvert,Y,Y
12,F,N,UK,Introvert,Y,Y
12,F,Y,UK,Extrovert,Y,N
12,F,Y,UK,Extrovert,N,Y
12,M,N,UK,Introvert,Y,N
12,F,N,UK,Introvert,Y,N
12,M,Y,UK,Introvert,Y,Y
12,F,N,UK,Introvert,Y,Y
12,F,N,UK,Introvert,Y,Y
12,F,N,UK,Introvert,Y,Y
12,M,N,UK,Extrovert,Y,N
12,M,N,UK,Extrovert,N,N
12,M,N,UK,Introvert,N,N
12,F,N,UK,Extrovert,N,Y
12,M,N,UK,Extrovert,Y,N
12,F,N,UK,Extrovert,Y,Y
