Total_happiness,Height,Weight,Age,Difficulty_score_1,Difficulty_score_2,BMI,sample
13,1.83,73,19,115,100,21.798,3
13,1.83,67.09,18,125,120,20.033,3
13,1.85,83,20,110,100,24.251,3
13,1.72,55.79,28,125,110,18.858,3
14,1.73,74.8,20,120,120,24.992,3
14,1.62,56.2,19,125,120,21.414,3
14,1.62,50.79,19,145,140,19.352,3
14,1.6,60.79,19,115,115,23.746,3
15,1.6,53.5,18,100,75,20.898,3
15,1.6,50,19,80,80,19.531,3
15,1.62,60,19,110,110,22.862,3
15,1.6,52,19,100,90,20.312,3
15,1.64,66.19,34,125,115,24.609,3
15,1.77,70.8,19,110,80,22.598,3
15,1.72,62.29,18,100,70,21.055,3
16,1.83,72.09,19,100,100,21.526,3
16,1.83,78.9,19,140,110,23.559,3
16,1.7,67.59,18,115,100,23.387,3
17,1.75,78.9,18,125,125,25.763,3
17,1.72,98,31,100,85,33.126,3
17,1.7,69.4,26,100,100,24.013,3
17,1.5,51.29,20,110,70,22.795,3
17,1.67,67.59,22,110,105,24.235,3
17,1.72,64.4,18,100,75,21.768,3
17,1.57,66.69,19,105,95,27.055,3
17,1.62,50.79,19,130,110,19.352,3
17,1.67,63.5,20,100,130,22.768,3
18,1.79,67.09,24,100,100,20.938,3
18,1.79,75,21,150,100,23.407,3
19,1.54,60.79,19,150,150,25.632,3
19,1.72,67.09,19,100,95,22.677,3
19,1.58,42,22,150,120,16.824,3
19,1.72,60,20,120,85,20.281,3
19,1.85,72.59,19,100,115,21.209,3
19,1.64,68.9,21,100,100,25.617,3
20,1.75,82.59,19,135,115,26.968,3
20,1.62,60.29,20,130,100,22.972,3
20,1.85,80,18,100,90,23.374,3
21,1.79,68,25,125,90,21.222,3
21,1.78,75.8,18,120,115,23.923,3
22,1.75,60.29,25,110,90,19.686,3
22,1.7,63.5,19,110,90,21.972,3
22,1.83,84.4,21,100,90,25.202,3
22,1.75,65.3,20,90,80,21.322,3
23,1.79,80,29,130,130,24.968,3
23,1.62,54,19,110,80,20.576,3
23,1.77,82.59,20,150,120,26.362,3
24,1.62,47.2,,100,100,17.985,3
25,1.72,67.09,19,130,110,22.677,3
26,1.64,51.7,18,125,100,19.222,3
27,1.75,77.09,18,150,130,25.172,3
9,1.75,67.09,24,100,100,21.906,4
12,1.75,71.19,18,110,90,23.245,4
12,1.62,54,18,125,100,20.576,4
13,1.85,78.5,18,125,100,22.936,4
14,1.79,82.59,18,75,75,25.776,4
14,1.79,59,21,125,125,18.413,4
15,1.77,68,19,125,115,21.705,4
16,1.89,80.09,20,115,115,22.42,4
16,1.75,,19,70,100,,4
16,1.72,69,21,100,100,23.323,4
17,1.7,69.9,19,125,124,24.186,4
17,1.7,65,19,100,150,22.491,4
18,1.71,59.9,18,130,120,20.484,4
18,1.77,73,18,125,125,23.301,4
18,1.74,59.5,19,125,100,19.652,4
19,,58.09,19,125,115,,4
19,1.58,48.09,18,125,110,19.263,4
20,1.47,58.5,19,125,135,27.072,4
20,1.64,,28,120,120,,4
20,1.72,65.3,20,150,125,22.072,4
20,1.7,60.79,18,125,100,21.034,4
21,1.85,73,21,120,120,21.329,4
21,1.7,88,19,100,100,30.449,4
21,1.64,56.4,18,110,90,20.969,4
21,1.83,73,18,120,120,21.798,4
21,1.67,56,18,125,110,20.079,4
22,1.7,66.69,18,120,120,23.076,4
22,1.73,60,24,125,,20.047,4
23,1.89,80,22,110,110,22.395,4
23,1.72,58.5,18,100,85,19.774,4
24,1.85,79.3,19,126,100,23.17,4
10,1.67,56.7,20,125,110,20.33,5
12,1.79,101.19,19,120,100,31.581,5
12,1.77,63.5,21,125,120,20.268,5
13,1.6,44.9,20,90,90,17.539,5
13,1.85,87.09,19,110,100,25.446,5
13,1.62,69.9,20,125,75,26.634,5
14,1.75,59.9,18,110,100,19.559,5
14,1.8,74,27,100,100,22.839,5
14,1.77,90.69,19,120,125,28.947,5
14,1.79,64.4,19,115,115,20.099,5
14,1.8,75.3,19,110,110,23.24,5
15,1.84,85,19,111,112,25.106,5
16,1.77,77.59,19,100,80,24.766,5
16,1.72,72.59,19,120,110,24.536,5
16,1.85,64.9,18,75,75,18.962,5
17,1.79,82.59,19,135,110,25.776,5
17,1.85,88.9,20,120,120,25.975,5
17,1.92,91.3,19,100,100,24.766,5
17,1.67,58.5,18,100,100,20.976,5
18,1.85,78.5,20,125,115,22.936,5
18,1.62,50.79,19,125,110,19.352,5
19,1.7,59,20,100,120,20.415,5
19,1.62,51.29,20,125,125,19.543,5
19,1.6,55.29,19,90,90,21.597,5
19,1.6,69.9,31,150,150,27.304,5
19,1.71,66.69,19,125,100,22.807,5
20,1.83,66.69,19,120,105,19.914,5
20,1.69,80.19,20,120,110,28.076,5
21,1.79,81.19,18,100,70,25.339,5
21,1.6,60.29,19,130,129,23.55,5
22,1.72,50.79,19,100,100,17.168,5
22,1.83,65.3,18,130,100,19.498,5
22,1.62,50.79,19,150,125,19.352,5
23,1.64,51.29,18,125,100,19.069,5
23,1.59,53.5,20,125,100,21.162,5
24,1.64,58,19,120,100,21.564,5
24,1.79,73.09,21,110,90,22.811,5
24,1.67,,20,125,100,,5
26,1.87,85.3,22,100,100,24.393,5
28,1.6,68.9,20,150,125,26.914,5
8,1.64,63.5,21,100,100,23.609,6
9,1.72,63.5,31,100,100,21.464,6
10,1.62,82.59,19,90,60,31.47,6
11,1.83,90,18,130,125,26.874,6
12,1.85,88,27,130,120,25.712,6
12,1.85,92,23,100,100,26.88,6
12,1.7,80,20,100,50,27.681,6
12,1.72,60.29,20,101,70,20.379,6
13,1.54,54.9,19,115,110,23.148,6
13,1.83,95.3,20,100,100,28.457,6
13,1.9,101.19,32,120,120,28.03,6
13,1.62,76,39,100,100,28.959,6
13,1.83,70.3,19,110,100,20.991,6
13,1.92,84,19,125,120,22.786,6
13,1.87,90.3,19,125,125,25.822,6
13,1.7,69.9,19,130,130,24.186,6
13,1.83,75.8,19,130,130,22.634,6
14,1.62,,18,125,100,,6
14,1.64,,21,125,125,,6
14,1.75,74.8,22,100,100,24.424,6
14,1.87,69.9,19,100,100,19.989,6
14,1.85,80,20,70,65,23.374,6
15,1.85,73.5,24,100,100,21.475,6
15,1.62,50.79,19,110,100,19.352,6
15,1.64,54,19,140,140,20.077,6
15,1.62,65.3,18,100,100,24.881,6
15,1.77,99.8,19,125,115,31.855,6
15,1.67,,19,150,140,,6
15,1.85,85.69,19,51,52,25.037,6
15,1.57,68.5,21,100,80,27.79,6
15,1.72,68,20,125,125,22.985,6
15,1.71,63.5,33,120,120,21.716,6
16,1.73,75.9,19,150,100,25.36,6
16,1.87,97.3,19,150,50,27.824,6
16,1.67,48.09,18,113,110,17.243,6
16,1.67,63.5,19,125,125,22.768,6
16,1.89,83,24,100,100,23.235,6
16,1.79,63.5,20,140,140,19.818,6
16,1.77,70,24,100,100,22.343,6
16,1.67,54,21,150,145,19.362,6
16,1.67,55,20,105,95,19.721,6
16,1.72,68.19,30,120,120,23.049,6
16,1.79,82.59,19,110,100,25.776,6
17,1.67,46.5,18,125,125,16.673,6
17,1.7,60.29,19,75,50,20.861,6
17,1.77,86.19,26,110,100,27.511,6
17,1.66,55.29,20,125,125,20.064,6
17,1.77,64.4,20,125,115,20.556,6
17,1.62,42.2,19,117,120,16.079,6
17,1.64,60.79,19,125,100,22.601,6
18,1.64,63.59,25,130,130,23.642,6
18,1.6,57.2,20,125,100,22.343,6
18,1.77,59.9,20,125,125,19.119,6
18,1.77,81.3,19,100,100,25.95,6
18,1.67,70,28,125,125,25.099,6
19,1.84,80,20,90,90,23.629,6
19,1.77,65.8,20,125,125,21.002,6
19,1.62,53,23,100,100,20.195,6
19,1.85,85.19,20,120,110,24.891,6
19,1.6,57.2,19,125,120,22.343,6
19,1.62,58,19,110,90,22.1,6
19,1.7,59.4,19,120,115,20.553,6
19,1.51,63.5,47,125,125,27.849,6
19,1.62,67.09,20,120,130,25.563,6
20,1.64,63.5,20,150,150,23.609,6
20,1.85,77.09,20,100,100,22.524,6
20,1.72,61.7,25,100,125,20.855,6
20,1.77,63.5,18,140,150,20.268,6
21,1.7,62,19,100,100,21.453,6
21,1.72,69.4,25,125,80,23.458,6
21,1.75,72.59,19,100,100,23.702,6
21,1.85,85,20,135,135,24.835,6
21,1.62,63.5,19,125,125,24.196,6
21,1.7,54,20,120,110,18.685,6
21,1.71,52,23,100,100,17.783,6
21,1.64,60.79,18,125,135,22.601,6
22,1.6,53,34,125,125,20.703,6
22,1.51,72.59,18,100,100,31.836,6
22,1.62,56.7,19,125,100,21.604,6
22,1.79,67.59,28,130,100,21.094,6
23,1.57,51.7,20,130,130,20.974,6
23,1.67,,18,125,100,,6
23,1.79,75,19,110,110,23.407,6
23,1.51,53.59,18,100,100,23.503,6
23,1.6,44,25,75,75,17.187,6
23,1.63,49,27,100,100,18.442,6
24,1.6,53.5,18,90,90,20.898,6
25,1.77,87.09,19,120,90,27.798,6
25,1.83,,19,120,121,,6
26,1.6,56.7,20,100,100,22.148,6
26,1.51,57.2,19,125,100,25.086,6
27,1.75,74,20,120,100,24.163,6
12,1.62,47.59,18,130,120,18.133,7
12,1.67,69.9,20,110,120,25.063,7
13,1.66,72,20,150,100,26.128,7
14,1.87,86,23,120,100,24.593,7
14,1.75,63,21,150,150,20.571,7
14,1.7,61.7,18,115,115,21.349,7
14,1.63,55,19,125,125,20.7,7
14,1.69,70,21,150,100,24.508,7
15,1.86,64.9,23,95,85,18.759,7
15,1.75,59.4,18,125,124,19.395,7
16,1.64,60.9,19,130,130,22.642,7
16,1.79,85,19,100,100,26.528,7
16,1.83,95.3,20,120,110,28.457,7
16,1.64,64,20,100,110,23.795,7
18,1.62,64.09,19,125,90,24.42,7
18,1.57,45.79,18,130,130,18.576,7
18,1.64,45,20,100,130,16.731,7
19,1.67,65.3,19,100,100,23.414,7
19,1.85,76,23,100,100,22.205,7
20,1.62,52.59,19,130,130,20.038,7
20,1.54,52.2,18,130,130,22.01,7
20,1.53,54.2,18,150,130,23.153,7
21,1.75,57.59,18,140,140,18.804,7
22,1.72,59.4,18,130,140,20.078,7
22,1.92,85.3,22,110,100,23.139,7
24,1.72,52,32,100,100,17.577,7
26,1.7,69.19,19,130,110,23.941,7
6,2,88.5,18,140,130,22.125,8
7,1.51,63.5,19,100,80,27.849,8
8,1.83,66.69,18,150,125,19.914,8
9,1.67,74.8,19,125,125,26.82,8
13,1.79,74.8,22,100,100,23.345,8
13,1.55,51.9,19,125,120,21.602,8
13,1.7,65.3,18,125,140,22.595,8
13,1.79,58.09,21,100,100,18.129,8
13,1.72,63.5,18,125,125,21.464,8
14,1.79,58.09,18,125,125,18.129,8
14,1.62,54.9,19,120,110,20.919,8
14,1.62,43.5,19,145,125,16.575,8
14,1.64,57.2,18,140,120,21.267,8
14,1.62,57.2,21,120,120,21.795,8
14,1.79,68,19,140,125,21.222,8
14,1.83,65.8,18,100,100,19.648,8
14,1.77,68,19,125,100,21.705,8
15,1.77,79,18,130,120,25.216,8
15,1.87,72.59,18,119,112,20.758,8
15,1.61,55,22,130,125,21.218,8
15,1.67,59,19,125,125,21.155,8
16,1.73,84.59,19,120,100,28.263,8
16,1.87,57.2,18,130,125,16.357,8
17,1.9,81.19,20,75,75,22.49,8
