Date,Symbols,Close,High,Low,Open,Volume
2020-01-02,AMZN,94.9005,94.9005,93.2075,93.75,80718200.0
2020-01-02,GOOGL,1368.68,1368.68,1346.49,1348.41,1364265.0
2020-01-02,PFE,35.6235,35.8159,35.3834,35.7713,17214771.923973
2020-01-02,BNTX,38.5,38.5,35.36,35.75,139671.0
2020-01-02,MRNA,19.23,19.81,18.88,19.57,1229434.0
2020-01-03,AMZN,93.7485,94.31,93.225,93.225,75332080.0
2020-01-03,GOOGL,1361.52,1373.75,1347.32,1348.0,1170629.0
2020-01-03,PFE,35.4321,35.7157,35.195,35.2426,15557971.097323
2020-01-03,BNTX,40.05,41.2501,36.42,38.0,176045.0
2020-01-03,MRNA,18.89,19.36,18.72,19.02,1750976.0
2020-01-06,AMZN,95.144,95.1845,93.0,93.0,81313960.0
2020-01-06,GOOGL,1397.81,1398.32,1351.0,1351.63,2339343.0
2020-01-06,PFE,35.3874,35.4975,35.2247,35.3329,16441227.741533
2020-01-06,BNTX,44.58,45.0,40.1,40.11,333286.0
2020-01-06,MRNA,18.13,18.74,18.01,18.7,1606505.0
2020-01-07,AMZN,95.343,95.6945,94.602,95.225,82680200.0
2020-01-07,GOOGL,1395.11,1403.5,1391.56,1400.46,1726456.0
2020-01-07,PFE,35.2694,35.6136,35.2049,35.6066,20992234.740357
2020-01-07,BNTX,43.34,48.85,41.18,47.4,562383.0
2020-01-07,MRNA,17.78,18.32,17.68,18.15,1461935.0
2020-01-08,AMZN,94.5985,95.55,94.322,94.902,70239320.0
2020-01-08,GOOGL,1405.04,1411.85,1392.63,1394.82,1766274.0
2020-01-08,PFE,35.5511,35.6969,35.2694,35.2783,17099391.615109
2020-01-08,BNTX,45.1,46.33,44.18,44.3,193946.0
2020-01-08,MRNA,17.98,18.08,17.76,17.99,1041551.0
2020-01-09,AMZN,95.0525,95.891,94.79,95.4945,63499240.0
2020-01-09,GOOGL,1419.79,1428.68,1410.21,1421.93,1661438.0
2020-01-09,PFE,35.3963,35.7415,35.3051,35.7415,22903944.520107
2020-01-09,BNTX,43.27,46.71,42.71,46.55,234919.0
2020-01-09,MRNA,18.4,18.55,17.9,18.0,1531344.0
2020-01-10,AMZN,94.158,95.347,94.0,95.2685,57139180.0
2020-01-10,GOOGL,1428.96,1434.94,1419.6,1429.47,1313178.0
2020-01-10,PFE,35.9429,36.0649,35.4697,35.4797,22471558.962528
2020-01-10,BNTX,39.68,44.99,38.2101,44.99,369139.0
2020-01-10,MRNA,19.14,21.0,19.05,21.0,4504819.0
2020-01-13,AMZN,94.565,94.9,94.04,94.5655,55716880.0
