Total happiness,Sex,UK_student,Ext_int,Absorbed,Bored
15,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
14,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
28,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
12,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
14,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
23,F,Y,Extrovert,Y,Y
26,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
13,F,Y,Extrovert,Y,Y
12,F,Y,Extrovert,Y,Y
11,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
20,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
18,F,Y,Extrovert,Y,Y
14,F,Y,Extrovert,Y,Y
15,F,Y,Extrovert,Y,Y
21,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
17,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
20,F,Y,Extrovert,Y,Y
19,F,Y,Extrovert,Y,Y
22,F,Y,Extrovert,Y,Y
20,F,Y,Extrovert,Y,Y
16,F,Y,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
13,M,N,Extrovert,Y,Y
15,M,N,Extrovert,Y,Y
17,M,N,Extrovert,Y,Y
26,M,N,Extrovert,Y,Y
15,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
12,M,N,Extrovert,Y,Y
22,M,N,Extrovert,Y,Y
15,M,N,Extrovert,Y,Y
23,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
7,M,N,Extrovert,Y,Y
19,M,N,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
17,M,N,Extrovert,Y,Y
19,M,N,Extrovert,Y,Y
24,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
19,M,N,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
22,M,N,Extrovert,Y,Y
12,M,N,Extrovert,Y,Y
17,M,N,Extrovert,Y,Y
23,M,N,Extrovert,Y,Y
18,M,N,Extrovert,Y,Y
20,M,N,Extrovert,Y,Y
16,M,N,Extrovert,Y,Y
13,F,N,Extrovert,Y,Y
14,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
19,F,N,Extrovert,Y,Y
17,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
18,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
21,F,N,Extrovert,Y,Y
23,F,N,Extrovert,Y,Y
22,F,N,Extrovert,Y,Y
15,F,N,Extrovert,Y,Y
22,F,N,Extrovert,Y,Y
16,F,N,Extrovert,Y,Y
26,F,N,Extrovert,Y,Y
20,F,N,Extrovert,Y,Y
19,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
12,M,Y,Introvert,Y,Y
17,M,Y,Introvert,Y,Y
14,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
20,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
22,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
13,M,Y,Introvert,Y,Y
9,M,Y,Introvert,Y,Y
18,M,Y,Introvert,Y,Y
24,M,Y,Introvert,Y,Y
23,M,Y,Introvert,Y,Y
21,M,Y,Introvert,Y,Y
