Total_happiness,Sex,UK_student,Extrovert_introvert,Absorbed,Bored,sample
15,M,Y,Introvert,N,N,3
16,M,Y,Extrovert,Y,N,3
16,M,Y,Extrovert,N,N,3
16,F,Y,Extrovert,N,N,3
17,M,Y,Extrovert,Y,Y,3
17,M,Y,Extrovert,Y,Y,3
17,M,N,Extrovert,Y,Y,3
17,F,Y,Introvert,Y,Y,3
17,M,Y,Extrovert,Y,N,3
17,F,Y,Extrovert,Y,N,3
17,F,Y,Extrovert,Y,N,3
17,F,Y,Introvert,Y,N,3
17,F,Y,Introvert,Y,N,3
18,F,N,Introvert,Y,Y,3
18,M,N,Extrovert,N,Y,3
19,F,Y,Extrovert,Y,Y,3
19,F,Y,Introvert,Y,Y,3
19,F,N,Introvert,N,Y,3
19,M,Y,Extrovert,Y,N,3
19,M,Y,Extrovert,Y,N,3
19,F,Y,Extrovert,Y,N,3
20,M,Y,Extrovert,Y,Y,3
20,F,Y,Extrovert,Y,N,3
20,M,N,Introvert,Y,N,3
21,M,Y,Extrovert,Y,Y,3
21,M,Y,Extrovert,N,N,3
22,M,Y,Extrovert,Y,Y,3
22,M,Y,Introvert,Y,Y,3
22,M,N,Extrovert,Y,N,3
22,M,Y,Introvert,Y,N,3
23,M,Y,Extrovert,Y,Y,3
23,F,Y,Extrovert,Y,Y,3
23,F,Y,Extrovert,Y,Y,3
24,M,Y,Introvert,Y,N,3
25,F,Y,Extrovert,Y,N,3
26,F,Y,Extrovert,Y,Y,3
27,M,Y,Extrovert,Y,Y,3
9,M,Y,Introvert,Y,Y,4
12,M,Y,Extrovert,Y,Y,4
12,F,Y,Introvert,Y,Y,4
13,M,Y,Introvert,N,N,4
14,M,Y,Extrovert,Y,Y,4
14,F,N,,Y,Y,4
15,M,Y,Extrovert,Y,Y,4
16,M,Y,Extrovert,Y,Y,4
16,M,Y,Extrovert,Y,Y,4
16,M,N,Extrovert,Y,N,4
17,F,Y,Extrovert,Y,N,4
17,M,N,Extrovert,Y,N,4
18,F,Y,Extrovert,Y,Y,4
18,M,Y,Introvert,Y,Y,4
18,F,N,Extrovert,Y,N,4
19,F,Y,,Y,Y,4
19,F,Y,Introvert,Y,N,4
20,F,N,Extrovert,Y,Y,4
20,M,Y,Introvert,N,Y,4
20,F,Y,Extrovert,Y,N,4
20,F,Y,,Y,N,4
21,M,Y,Extrovert,Y,Y,4
21,M,Y,Introvert,Y,Y,4
21,F,Y,Extrovert,Y,N,4
21,F,Y,Introvert,Y,N,4
21,F,N,Introvert,N,N,4
22,F,Y,Extrovert,N,Y,4
22,M,N,Introvert,N,N,4
23,M,Y,Introvert,Y,Y,4
23,F,Y,Introvert,Y,N,4
24,M,Y,Introvert,Y,Y,4
10,F,Y,Extrovert,Y,N,5
12,M,Y,Extrovert,Y,Y,5
12,M,Y,Introvert,,,5
13,F,Y,Extrovert,Y,Y,5
13,M,Y,Extrovert,N,Y,5
13,F,Y,Extrovert,Y,N,5
14,M,Y,Introvert,Y,Y,5
14,M,Y,Introvert,Y,Y,5
14,M,Y,Introvert,Y,Y,5
14,M,Y,Extrovert,N,Y,5
14,M,Y,Introvert,N,Y,5
15,M,Y,Extrovert,Y,Y,5
16,M,Y,Extrovert,Y,Y,5
16,F,Y,Introvert,Y,Y,5
16,M,Y,Extrovert,N,Y,5
17,M,Y,Extrovert,Y,Y,5
17,M,Y,Extrovert,Y,Y,5
17,M,Y,Extrovert,Y,Y,5
17,F,N,Introvert,N,Y,5
18,M,Y,Extrovert,Y,Y,5
18,M,Y,Extrovert,Y,N,5
19,F,Y,Extrovert,Y,Y,5
19,F,N,Extrovert,Y,Y,5
19,F,Y,Introvert,Y,Y,5
19,F,N,,Y,Y,5
19,F,Y,Introvert,N,Y,5
20,M,Y,Introvert,Y,Y,5
20,M,N,,Y,N,5
21,M,Y,Extrovert,Y,Y,5
21,F,Y,Extrovert,Y,N,5
22,M,Y,Introvert,Y,Y,5
22,F,N,Extrovert,Y,N,5
22,F,Y,Introvert,Y,N,5
23,F,Y,Extrovert,,Y,5
23,F,Y,Extrovert,,Y,5
24,F,N,Introvert,Y,Y,5
24,M,Y,,Y,Y,5
24,F,Y,Extrovert,Y,N,5
26,M,Y,Extrovert,Y,N,5
28,F,Y,Extrovert,Y,Y,5
8,M,Y,Extrovert,Y,Y,6
