Total_happiness,Height,Weight,Age,BMI,sample
20,1.62,60.29,20,22.972,3
20,1.85,80,18,23.374,3
21,1.79,68,25,21.222,3
21,1.78,75.8,18,23.923,3
22,1.75,60.29,25,19.686,3
22,1.7,63.5,19,21.972,3
22,1.83,84.4,21,25.202,3
22,1.75,65.3,20,21.322,3
23,1.79,80,29,24.968,3
23,1.62,54,19,20.576,3
23,1.77,82.59,20,26.362,3
24,1.62,47.2,,17.985,3
25,1.72,67.09,19,22.677,3
26,1.64,51.7,18,19.222,3
27,1.75,77.09,18,25.172,3
9,1.75,67.09,24,21.906,4
12,1.75,71.19,18,23.245,4
12,1.62,54,18,20.576,4
13,1.85,78.5,18,22.936,4
14,1.79,82.59,18,25.776,4
14,1.79,59,21,18.413,4
15,1.77,68,19,21.705,4
16,1.89,80.09,20,22.42,4
16,1.75,,19,,4
16,1.72,69,21,23.323,4
17,1.7,69.9,19,24.186,4
17,1.7,65,19,22.491,4
18,1.71,59.9,18,20.484,4
18,1.77,73,18,23.301,4
18,1.74,59.5,19,19.652,4
19,,58.09,19,,4
19,1.58,48.09,18,19.263,4
20,1.47,58.5,19,27.072,4
20,1.64,,28,,4
20,1.72,65.3,20,22.072,4
20,1.7,60.79,18,21.034,4
21,1.85,73,21,21.329,4
21,1.7,88,19,30.449,4
21,1.64,56.4,18,20.969,4
21,1.83,73,18,21.798,4
21,1.67,56,18,20.079,4
22,1.7,66.69,18,23.076,4
22,1.73,60,24,20.047,4
23,1.89,80,22,22.395,4
23,1.72,58.5,18,19.774,4
24,1.85,79.3,19,23.17,4
10,1.67,56.7,20,20.33,5
12,1.79,101.19,19,31.581,5
12,1.77,63.5,21,20.268,5
13,1.6,44.9,20,17.539,5
13,1.85,87.09,19,25.446,5
13,1.62,69.9,20,26.634,5
14,1.75,59.9,18,19.559,5
14,1.8,74,27,22.839,5
14,1.77,90.69,19,28.947,5
14,1.79,64.4,19,20.099,5
14,1.8,75.3,19,23.24,5
15,1.84,85,19,25.106,5
16,1.77,77.59,19,24.766,5
16,1.72,72.59,19,24.536,5
16,1.85,64.9,18,18.962,5
17,1.79,82.59,19,25.776,5
17,1.85,88.9,20,25.975,5
17,1.92,91.3,19,24.766,5
17,1.67,58.5,18,20.976,5
18,1.85,78.5,20,22.936,5
18,1.62,50.79,19,19.352,5
19,1.7,59,20,20.415,5
19,1.62,51.29,20,19.543,5
19,1.6,55.29,19,21.597,5
19,1.6,69.9,31,27.304,5
19,1.71,66.69,19,22.807,5
20,1.83,66.69,19,19.914,5
20,1.69,80.19,20,28.076,5
21,1.79,81.19,18,25.339,5
21,1.6,60.29,19,23.55,5
22,1.72,50.79,19,17.168,5
22,1.83,65.3,18,19.498,5
22,1.62,50.79,19,19.352,5
23,1.64,51.29,18,19.069,5
23,1.59,53.5,20,21.162,5
24,1.64,58,19,21.564,5
24,1.79,73.09,21,22.811,5
24,1.67,,20,,5
26,1.87,85.3,22,24.393,5
28,1.6,68.9,20,26.914,5
8,1.64,63.5,21,23.609,6
9,1.72,63.5,31,21.464,6
10,1.62,82.59,19,31.47,6
11,1.83,90,18,26.874,6
12,1.85,88,27,25.712,6
12,1.85,92,23,26.88,6
12,1.7,80,20,27.681,6
12,1.72,60.29,20,20.379,6
13,1.54,54.9,19,23.148,6
13,1.83,95.3,20,28.457,6
13,1.9,101.19,32,28.03,6
13,1.62,76,39,28.959,6
13,1.83,70.3,19,20.991,6
13,1.92,84,19,22.786,6
