Total_happiness,Height,Weight,Age,BMI,sample
20,1.6,65,18,25.39,14
20,1.65,67,19,24.609,14
20,1.76,79,21,25.503,14
21,1.8,70.8,17,21.851,14
21,1.61,64,27,24.69,14
22,1.54,58,18,24.456,14
22,1.95,79,19,20.775,14
22,1.75,75,19,24.489,14
23,1.8,74,24,22.839,14
24,1.58,64,19,25.636,14
12,1.53,50,20,21.359,15
13,1.7,62,18,21.453,15
13,1.82,86,22,25.963,15
13,1.8,69.3,19,21.388,15
14,1.8,70,20,21.604,15
15,1.75,70,22,22.857,15
16,1.78,76.5,21,24.144,15
16,1.77,85,19,27.131,15
16,1.84,67,20,19.789,15
16,,,25,,15
17,1.53,65,23,27.767,15
17,1.66,75,22,27.217,15
17,1.96,70,44,18.221,15
17,1.58,50,21,20.028,15
18,1.86,,22,,15
20,1.75,75,19,24.489,15
20,1.65,60,20,22.038,15
20,1.6,42,19,16.406,15
21,1.65,73,49,26.813,15
22,1.7,96,20,33.217,15
11,1.9,70,20,19.39,16
11,1.7,,19,,16
12,2,87,19,21.75,16
12,1.79,85,26,26.528,16
12,1.7,79,19,27.335,16
12,1.8,90,19,27.777,16
12,1.6,56,18,21.875,16
13,1.7,70,18,24.221,16
13,1.55,70.5,22,29.344,16
13,1.88,90.4,24,25.577,16
14,1.75,85,29,27.755,16
14,1.8,84,33,25.925,16
14,1.78,72,24,22.724,16
14,1.6,60,19,23.437,16
15,1.68,,18,,16
15,,63,25,,16
15,1.88,70,20,19.805,16
16,2,70,20,17.5,16
16,1.7,75,19,25.951,16
16,1.67,86,19,30.836,16
16,1.68,57,19,20.195,16
16,1.83,73.5,19,21.947,16
16,1.8,74,29,22.839,16
16,1.78,70,18,22.093,16
17,1.74,64.5,18,21.304,16
17,1.83,92,18,27.471,16
17,1.73,60,19,20.047,16
17,1.87,75,19,21.447,16
17,1.72,70,19,23.661,16
17,1.72,70,19,23.661,16
17,1.8,65,20,20.061,16
17,1.75,65,20,21.224,16
17,1.7,99,38,34.256,16
18,1.65,60,18,22.038,16
18,2,50,19,12.5,16
19,1.7,62,18,21.453,16
19,1.83,75,29,22.395,16
19,1.65,67.5,19,24.793,16
19,1.79,76.5,29,23.875,16
20,1.73,65,19,21.718,16
20,1.6,60,19,23.437,16
20,1.71,78,22,26.674,16
20,1.63,52.7,18,19.835,16
20,1.75,65,19,21.224,16
21,1.8,84,18,25.925,16
22,1.85,105,19,30.679,16
22,1.86,70,19,20.233,16
22,1.5,71.5,20,31.777,16
22,1.78,58,26,18.305,16
22,1.72,72,20,24.337,16
22,1.4,54,27,27.551,16
23,1.74,59.2,18,19.553,16
24,1.82,72,19,21.736,16
25,1.72,56,18,18.929,16
26,1.53,60,18,25.631,16
28,1.77,69.3,20,22.12,16
10,1.91,93,22,25.492,17
11,1.72,61,18,20.619,17
13,1.72,72.1,19,24.371,17
14,1.84,80,20,23.629,17
15,1.85,80,23,23.374,17
15,1.75,82.1,18,26.808,17
16,1.79,88.9,19,27.745,17
16,1.65,75.5,19,27.731,17
17,1.78,70.1,19,22.124,17
17,1.8,74,18,22.839,17
18,1.93,80.5,18,21.611,17
18,1.8,65,22,20.061,17
19,1.8,78,18,24.074,17
19,1.87,77.8,18,22.248,17
19,1.8,85,18,26.234,17
19,1.68,60.8,34,21.541,17
19,1.7,67,21,23.183,17
19,1.8,78,20,24.074,17
19,1.68,63.5,19,22.498,17
20,1.7,89.4,19,30.934,17
20,1.77,60,21,19.151,17
21,1.8,77.6,18,23.95,17
21,1.72,90,19,30.421,17
21,1.59,48.2,20,19.065,17
21,1.78,62,19,19.568,17
22,1.78,77.5,18,24.46,17
22,1.85,93,21,27.173,17
23,1.72,68,19,22.985,17
24,1.76,64,18,20.661,17
24,1.7,68.5,19,23.702,17
24,1.83,70,18,20.902,17
24,1.85,76.2,20,22.264,17
25,1.8,84,20,25.925,17
27,1.7,70,19,24.221,17
28,1.83,65,18,19.409,17
13,1.73,67.5,26,22.553,18
14,1.82,64.6,27,19.502,18
15,1.68,53,25,18.778,18
16,1.79,86.5,26,26.996,18
17,1.73,76,18,25.393,18
19,1.75,68,21,22.204,18
19,1.7,68,21,23.529,18
19,1.47,45,21,20.824,18
20,1.8,85,22,26.234,18
21,1.95,75,20,19.723,18
21,1.66,64,29,23.225,18
22,1.8,67.5,20,20.833,18
23,1.79,70,18,21.847,18
26,1.62,65,21,24.767,18
9,1.8,76,23,23.456,19
10,1.95,91.3,20,24.01,19
10,1.7,65,23,22.491,19
12,1.8,70,21,21.604,19
13,1.68,98,19,34.722,19
13,1.9,68,27,18.836,19
13,1.73,80,19,26.729,19
13,1.8,70,23,21.604,19
14,1.78,72,18,22.724,19
14,1.67,54,24,19.362,19
14,1.8,75,30,23.148,19
15,1.6,80,26,31.25,19
15,1.85,65,19,18.991,19
16,1.8,70,20,21.604,19
16,1.74,68,21,22.46,19
18,1.8,95,18,29.32,19
18,1.81,108,20,32.966,19
18,1.74,63,18,20.808,19
18,1.76,67,22,21.629,19
20,1.86,85,19,24.569,19
21,1.8,65,18,20.061,19
21,1.65,59,18,21.671,19
21,1.77,95,28,30.323,19
21,1.68,68,19,24.092,19
22,1.5,67,19,29.777,19
22,1.85,78.8,27,23.024,19
22,1.7,68,18,23.529,19
26,1.69,63,18,22.058,19
12,1.66,64.6,20,23.443,20
14,1.85,82.1,26,23.988,20
16,1.93,86.6,35,23.248,20
16,1.78,72,26,22.724,20
17,1.7,68,22,23.529,20
18,1.63,57.2,19,21.528,20
20,1.73,62,18,20.715,20
21,1.77,65,21,20.747,20
22,1.6,43,18,16.796,20
24,1.78,83,22,26.196,20
7,2,76,20,19,21
11,1.63,59,19,22.206,21
11,1.85,71.7,18,20.949,21
12,1.85,83,19,24.251,21
13,1.8,78.9,25,24.351,21
13,1.8,,18,,21
14,1.88,120.6,27,34.121,21
14,1.78,85,23,26.827,21
14,1.7,72,19,24.913,21
14,1.77,65,19,20.747,21
14,1.75,82,18,26.775,21
14,1.72,70,31,23.661,21
15,1.93,97.1,20,26.067,21
15,1.8,74,21,22.839,21
15,1.88,77.6,18,21.955,21
15,1.74,70,18,23.12,21
16,1.48,76.1,18,34.742,21
16,1.89,85,19,23.795,21
16,1.7,65.8,24,22.768,21
16,1.75,70,19,22.857,21
17,1.65,60.2,28,22.112,21
17,1.75,85,20,27.755,21
17,1.72,80,20,27.041,21
18,1.76,72.1,18,23.276,21
18,1.7,76.8,18,26.574,21
18,1.21,65,18,44.395,21
18,1.63,60,20,22.582,21
18,1.72,65,18,21.971,21
18,1.8,80,18,24.691,21
18,1.8,68,20,20.987,21
19,1.75,70,20,22.857,21
19,1.8,70,18,21.604,21
19,1.68,55,18,19.486,21
20,1.85,66.5,18,19.43,21
20,1.83,65.8,18,19.648,21
20,1.85,63.5,18,18.553,21
20,1.68,63.6,20,22.534,21
20,1.75,68.9,21,22.497,21
21,1.78,65.8,19,20.767,21
21,1.72,50.8,19,17.171,21
21,1.8,80,20,24.691,21
22,1.8,80,19,24.691,21
22,1.63,59,20,22.206,21
23,1.82,65.7,19,19.834,21
23,1.91,71.2,23,19.517,21
23,1.9,81.6,23,22.603,21
23,1.8,85,18,26.234,21
24,1.88,73,19,20.654,21
24,1.82,79.5,18,24,21
24,1.89,86,21,24.075,21
24,1.69,52,21,18.206,21
26,1.91,75,18,20.558,21
26,1.73,57,19,19.045,21
28,1.7,56.2,18,19.446,21
6,1.85,105,54,30.679,22
9,1.79,95.9,25,29.93,22
10,2.01,73,20,18.068,22
11,1.85,74,31,21.621,22
13,1.77,68.5,20,21.864,22
13,1.78,70,20,22.093,22
13,1.85,90,19,26.296,22
14,1.77,63,18,20.109,22
14,1.83,69,19,20.603,22
14,1.75,99.9,26,32.62,22
14,1.78,64.3,18,20.294,22
14,1.74,86.5,19,28.57,22
15,1.75,84,25,27.428,22
15,1.82,83,20,25.057,22
15,1.74,88.9,19,29.363,22
15,1.8,65,23,20.061,22
15,1.76,76.6,23,24.728,22
16,1.79,80,27,24.968,22
16,1.68,,19,,22
16,1.75,55,21,17.959,22
16,1.68,70,19,24.801,22
16,1.7,66,30,22.837,22
16,1.81,72,19,21.977,22
17,1.82,78,24,23.547,22
17,1.85,97,18,28.341,22
17,1.8,70,23,21.604,22
17,1.89,105,22,29.394,22
17,1.8,75,19,23.148,22
18,1.8,72,20,22.222,22
18,1.75,72.5,20,23.673,22
18,1.82,86.2,21,26.023,22
18,1.72,65,19,21.971,22
18,1.83,78.2,24,23.35,22
18,1.74,108,26,35.671,22
18,1.47,76.2,20,35.263,22
19,1.88,70.5,18,19.946,22
19,1.81,82,24,25.029,22
19,1.8,,24,,22
19,1.74,89.8,22,29.66,22
20,1.8,75.8,20,23.395,22
20,1.55,58.5,18,24.349,22
20,,160,21,,22
20,1.52,55,19,23.805,22
20,1.82,94,27,28.378,22
20,1.68,75,19,26.573,22
20,1.77,80,19,25.535,22
21,1.79,66.6,21,20.785,22
21,1.94,90.5,18,24.046,22
22,1.7,72,22,24.913,22
22,1.72,75,20,25.351,22
22,1.57,45,21,18.256,22
23,1.8,70,31,21.604,22
23,1.83,90,18,26.874,22
23,1.8,80,21,24.691,22
23,1.8,,19,,22
24,1.8,78,19,24.074,22
24,1.92,94,19,25.499,22
24,1.87,75,20,21.447,22
26,1.56,48,19,19.723,22
12,1.72,72,19,24.337,23
12,1.79,66.8,20,20.848,23
13,1.85,93,19,27.173,23
13,1.73,49.5,19,16.539,23
13,1.75,65,20,21.224,23
14,1.85,79.7,23,23.287,23
14,1.72,69,18,23.323,23
14,1.88,77,19,21.785,23
14,1.82,92.1,18,27.804,23
15,1.75,75,19,24.489,23
15,1.85,75,18,21.913,23
16,1.65,54.2,19,19.908,23
16,1.78,100,18,31.561,23
16,1.82,67.5,19,20.377,23
16,1.71,71.2,18,24.349,23
16,1.82,75,18,22.642,23
16,1.86,85.9,28,24.829,23
16,1.78,,23,,23
17,1.6,67.5,20,26.367,23
17,1.8,70,18,21.604,23
17,1.5,50,18,22.222,23
18,1.75,69.3,19,22.628,23
18,1.7,69.9,20,24.186,23
18,1.85,72.5,19,21.183,23
18,1.7,72,19,24.913,23
18,1.75,64.5,18,21.061,23
18,1.72,88.2,18,29.813,23
18,1.8,77,18,23.765,23
19,1.78,86,19,27.143,23
19,1.77,86.5,18,27.61,23
19,1.85,99.6,19,29.101,23
19,1.72,63,19,21.295,23
19,1.83,63,20,18.812,23
19,1.77,78.8,23,25.152,23
20,1.75,73,18,23.836,23
20,1.71,75,19,25.648,23
20,1.8,80,18,24.691,23
20,1.62,58,20,22.1,23
20,1.8,79,20,24.382,23
21,1.6,69,19,26.953,23
21,1.9,64.5,18,17.867,23
21,1.87,87.5,19,25.022,23
21,1.93,103.1,19,27.678,23
21,1.68,64,19,22.675,23
22,1.8,70,19,21.604,23
22,1.7,55,17,19.031,23
23,1.86,80,18,23.124,23
23,1.85,85,18,24.835,23
23,1.57,,18,,23
24,1.71,72.5,18,24.793,23
